X,Y,Year,Occurrence,Occurren_Day,Location_T,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Type,Bicycle_Frame,Bicycle_Color,Ottawa_Neighboirhood,Month,price_affordabality ,Diff_Rep_Occu,,Brand_Popularity
-8428937.251,5667079.248,2022,2022/09/25 00:00:00+00,Sunday,"SINGLE HOME, HOUSE",STOLEN,800,RALEIGH,OTHER,UNISEX,WHITE,Rideau Crest - Davidson Heights,September,affordable,0,,FAIRLY RECOGNIZED
-8428326.947,5686825.648,2022,2022/09/23 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,800,BATCH,HYBRID,MEN'S,BLACK,Carson Grove - Carson Meadows,September,affordable,1,,LESS-RECOGNIZED
-8418365.849,5690196.206,2022,2022/09/23 00:00:00+00,Friday,"SINGLE HOME, HOUSE",STOLEN,1500,SPECIALIZED,OTHER,UNISEX,BROWN,Carson Grove - Carson Meadows,September,nice,1,,Well-Known
-8418365.849,5690196.206,2022,2022/09/23 00:00:00+00,Friday,PARKING LOTS,STOLEN,1500,SPECIALIZED,HYBRID,UNISEX,BROWN,Lebreton Development,September,nice,1,,Well-Known
-8425134.587,5688289.587,2022,2022/09/15 00:00:00+00,Thursday,"SINGLE HOME, HOUSE",STOLEN,350,MONGOOSE,OTHER,UNISEX,SILK,Centretown,September,Cheap,8,,LESS-RECOGNIZED
-8427036.027,5688070.143,2022,2022/09/22 00:00:00+00,Thursday,PARKING LOTS,STOLEN,1000,TREK,OTHER,WOMEN'S,WHITE,Sandy Hill,September,affordable,1,,Well-Known
-8429178.386,5686268.354,2022,2022/09/21 00:00:00+00,Wednesday,OTHER COMMERCIAL / CORPORATE PLACES,STOLEN,1000,OPUS,RACER,WOMEN'S,BLACK,Sandy Hill,September,affordable,1,,LESS-RECOGNIZED
-8429178.386,5686268.354,2022,2022/09/21 00:00:00+00,Wednesday,UNIVERSITIES / COLLEGES,STOLEN,1000,OPUS,MOUNTAIN,WOMEN'S,BLACK,Sandy Hill,September,affordable,1,,LESS-RECOGNIZED
-8425285.641,5688552.221,2022,2022/09/21 00:00:00+00,Wednesday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,STOLEN,1500,SCOTT,RACER,MEN'S,GRAY,West Centretown,September,nice,1,,Well-Known
-8424934.186,5688410.528,2022,2022/09/22 00:00:00+00,Thursday,OTHER PUBLIC TRANSPORTATION AND CONNECTED FACILITIES,STOLEN,1000,FELT,RACER,MEN'S,GRAY,West Centretown,September,affordable,0,,Well-Known
