"Id","first_name","last_name","email","Address","Country","Branch","Currency","Salary","LOF_Outlier","outlier_flag","Distance_Outlier"
100101,"Tana","Dunne","tdunne2n@uiuc.edu","7497 Farwell Center","China",3,"CHY",120000,110.05343310520364,"No Outlier","false"
100102,"Steven","McGrae","smcgrae11@engadget.com","129 Clemons Center","U.S.A.",1,"USD",49000,0.9927598187569322,"No Outlier","false"
100103,"Nobe","Haslen","nhaslen2p@mysql.com","82 Division Point","China",3,"CHY",160000,206.37459082078527,"No Outlier","false"
100104,"Basile","Annis","bannis7@cornell.edu","79 Weeping Birch Point","U.S.A.",1,"USD",16000,1.399617525603721,"No Outlier","false"
100105,"Concordia","Kohen","ckoheny@cocolog-nifty.com","203 Northridge Circle","U.S.A.",1,"USD",39000,0.9767565602464163,"No Outlier","false"
100106,"Nev","Yuryatin","nyuryatink@php.net","65703 Ridgeview Drive","U.S.A.",1,"USD",45000,0.9420958408099027,"No Outlier","false"
100107,"Starlene","Sager","ssagerz@reuters.com","088 Brown Park","U.S.A.",1,"USD",19000,1.11299293725498,"No Outlier","false"
100108,"Curt","Medlar","cmedlar2w@addtoany.com","1749 Lakewood Park","China",3,"CHY",150000,1.7558596001210265,"No Outlier","false"
100109,"Adolpho","Bourdon","abourdon1b@wikimedia.org","2605 Lighthouse Bay Trail","Germany",2,"EUR",99000,1.245537415721754,"No Outlier","false"
100110,"Sonny","Trevarthen","strevarthen1t@blinklist.com","270 Carey Junction","Germany",2,"EUR",36098,0.9839270511924395,"No Outlier","false"
100111,"Robbin","Geleman","rgeleman2j@phpbb.com","5138 Nova Avenue","China",3,"CHY",680000,16.56791835942209,"No Outlier","true"
100112,"Garnet","Linfoot","glinfoot2b@gov.uk","9618 Emmet Drive","China",3,"CHY",200000,269.69771877885313,"No Outlier","false"
100113,"Derick","Chuney","dchuney1p@earthlink.net","73099 Anderson Pass","Germany",2,"EUR",29000,1.0326732323034753,"No Outlier","false"
100114,"Brion","Wallwood","bwallwood30@goo.ne.jp","289 Almo Terrace","China",3,"CHY",150000,1.55702852889957,"No Outlier","false"
100115,"Junie","Esmead","jesmead1g@sbwire.com","15 Hagan Park","Germany",2,"EUR",66000,1.2985216277443337,"No Outlier","false"
100116,"Adrea","Bravey","abravey1@1und1.de","4621 Emmet Junction","U.S.A.",1,"USD",72000,1.0533400998540698,"No Outlier","false"
100117,"Ella","McGenn","emcgennc@sourceforge.net","41 1st Drive","U.S.A.",1,"USD",90000,1.0826062722400163,"No Outlier","false"
100118,"Sherlock","Lober","slober16@tuttocitta.it","80547 Northridge Park","Germany",2,"EUR",85000,1.2244019520769163,"No Outlier","false"
100119,"Clarisse","Fawdrey","cfawdrey2i@smh.com.au","78285 8th Junction","China",3,"CHY",780000,15.43206063368938,"No Outlier","true"
100120,"Trudey","Kowal","tkowal1r@liveinternet.ru","5253 Macpherson Pass","Germany",2,"EUR",39000,0.9765940180133462,"No Outlier","false"
100121,"Velma","Andraud","vandraud1x@issuu.com","58 Harper Pass","Germany",2,"EUR",96300,1.1660750643836582,"No Outlier","false"
100122,"Lisbeth","Fenne","lfenne2@un.org","0 Dahle Hill","U.S.A.",1,"USD",20500,1.0485288841486728,"No Outlier","false"
100123,"Mahmud","Laurentin","mlaurentin29@bloomberg.com","6895 Becker Court","China",3,"CHY",450000,34.68351927372066,"No Outlier","true"
100124,"Jared","Pancoust","jpancoust21@domainmarket.com","783 Arapahoe Park","Germany",2,"EUR",49000,0.992412950075973,"No Outlier","false"
100125,"Tallie","Tiplady","ttiplady1s@a8.net","85 Farmco Point","Germany",2,"EUR",41068,1.2301725263092769,"No Outlier","false"
