"Id","first_name","last_name","email","Address","Country","Branch","Currency","Salary","LOF_Outlier","Distance_Outlier"
100101,"Tana","Dunne","tdunne2n@uiuc.edu","7497 Farwell Center","China",3,"CHY",120000,110.05343310520364,"false"
100102,"Steven","McGrae","smcgrae11@engadget.com","129 Clemons Center","U.S.A.",1,"USD",49000,0.9927598187569322,"false"
100103,"Nobe","Haslen","nhaslen2p@mysql.com","82 Division Point","China",3,"CHY",160000,206.37459082078527,"false"
100104,"Basile","Annis","bannis7@cornell.edu","79 Weeping Birch Point","U.S.A.",1,"USD",16000,1.399617525603721,"false"
100105,"Concordia","Kohen","ckoheny@cocolog-nifty.com","203 Northridge Circle","U.S.A.",1,"USD",39000,0.9767565602464163,"false"
100106,"Nev","Yuryatin","nyuryatink@php.net","65703 Ridgeview Drive","U.S.A.",1,"USD",45000,0.9420958408099027,"false"
100107,"Starlene","Sager","ssagerz@reuters.com","088 Brown Park","U.S.A.",1,"USD",19000,1.11299293725498,"false"
100108,"Curt","Medlar","cmedlar2w@addtoany.com","1749 Lakewood Park","China",3,"CHY",150000,1.7558596001210265,"false"
100109,"Adolpho","Bourdon","abourdon1b@wikimedia.org","2605 Lighthouse Bay Trail","Germany",2,"EUR",99000,1.245537415721754,"false"
100110,"Sonny","Trevarthen","strevarthen1t@blinklist.com","270 Carey Junction","Germany",2,"EUR",36098,0.9839270511924395,"false"
100111,"Robbin","Geleman","rgeleman2j@phpbb.com","5138 Nova Avenue","China",3,"CHY",680000,16.56791835942209,"true"
100112,"Garnet","Linfoot","glinfoot2b@gov.uk","9618 Emmet Drive","China",3,"CHY",200000,269.69771877885313,"false"
100113,"Derick","Chuney","dchuney1p@earthlink.net","73099 Anderson Pass","Germany",2,"EUR",29000,1.0326732323034753,"false"
100114,"Brion","Wallwood","bwallwood30@goo.ne.jp","289 Almo Terrace","China",3,"CHY",150000,1.55702852889957,"false"
100115,"Junie","Esmead","jesmead1g@sbwire.com","15 Hagan Park","Germany",2,"EUR",66000,1.2985216277443337,"false"
100116,"Adrea","Bravey","abravey1@1und1.de","4621 Emmet Junction","U.S.A.",1,"USD",72000,1.0533400998540698,"false"
100117,"Ella","McGenn","emcgennc@sourceforge.net","41 1st Drive","U.S.A.",1,"USD",90000,1.0826062722400163,"false"
100118,"Sherlock","Lober","slober16@tuttocitta.it","80547 Northridge Park","Germany",2,"EUR",85000,1.2244019520769163,"false"
100119,"Clarisse","Fawdrey","cfawdrey2i@smh.com.au","78285 8th Junction","China",3,"CHY",780000,15.43206063368938,"true"
100120,"Trudey","Kowal","tkowal1r@liveinternet.ru","5253 Macpherson Pass","Germany",2,"EUR",39000,0.9765940180133462,"false"
100121,"Velma","Andraud","vandraud1x@issuu.com","58 Harper Pass","Germany",2,"EUR",96300,1.1660750643836582,"false"
100122,"Lisbeth","Fenne","lfenne2@un.org","0 Dahle Hill","U.S.A.",1,"USD",20500,1.0485288841486728,"false"
100123,"Mahmud","Laurentin","mlaurentin29@bloomberg.com","6895 Becker Court","China",3,"CHY",450000,34.68351927372066,"true"
100124,"Jared","Pancoust","jpancoust21@domainmarket.com","783 Arapahoe Park","Germany",2,"EUR",49000,0.992412950075973,"false"
100125,"Tallie","Tiplady","ttiplady1s@a8.net","85 Farmco Point","Germany",2,"EUR",41068,1.2301725263092769,"false"
100126,"Neron","Pennycook","npennycook1m@infoseek.co.jp","397 Cascade Way","Germany",2,"EUR",82000,1.5255097403516813,"false"
100127,"Kendra","Gitthouse","kgitthouse1w@tuttocitta.it","642 Waxwing Plaza","Germany",2,"EUR",100000,1.2891254663091298,"false"
100128,"Urbain","Scurrey","uscurrey40@creativecommons.org","387 Reindahl Trail","Mexico",4,"MXD",59000,1.3609828313771068,"false"
100129,"Desmond","Flannery","doflannery1d@imgur.com","8 Weeping Birch Point","Germany",2,"EUR",54000,1.5501597787380714,"false"
100130,"Marika","Kesper","mkesper4@digg.com","86516 Stephen Street","U.S.A.",1,"USD",32000,1.0258539597576124,"false"
100131,"Poul","Paulack","ppaulack22@facebook.com","5183 Onsgard Point","Germany",2,"EUR",52000,1.3242069971306865,"false"
100132,"Rickie","Lates Ken","rlatesken@ameblo.jp","823 Mockingbird Pass","Mexico",4,"MXD",60000,1.2391692229010585,"false"
100133,"Aigneis","Rangle","arangle2e@webs.com","71505 Green Ridge Alley","China",3,"CHY",350000,302.8747648726047,"false"
100134,"Kara","Scurrer","kscurrer3l@last.fm","99 Merrick Crossing","Mexico",4,"MXD",23000,1.1225984051532543,"false"
100135,"Maressa","Commucci","mcommucci3e@techcrunch.com","3 Prairieview Alley","Mexico",4,"MXD",40,7.147468918463754,"false"
100136,"Aurel","Bertelmot","abertelmots@live.com","57 Eagan Park","U.S.A.",1,"USD",19567,1.0394537419522512,"false"
100137,"Asa","Aleksandrev","aaleksandrev1h@msu.edu","001 Green Street","Germany",2,"EUR",42000,1.4804669960840968,"false"
100138,"Robinetta","Narracott","rnarracott2u@usgs.gov","67124 Laurel Road","China",3,"CHY",150000,1.0562876024198897,"false"
100139,"Burton","Dudden","bdudden39@japanpost.jp","050 Nova Court","Mexico",4,"INR",45999,0.8776451825695671,"false"
100140,"Falkner","Horlick","fhorlick3b@yandex.ru","0245 Ruskin Trail","Mexico",4,"MXD",29000,1.0319023311880617,"false"
100141,"Maddi","Peres","mperes3w@comcast.net","2 Crownhardt Street","Mexico",4,"MXD",24500,1.1625720365603918,"false"
100142,"Rodge","Sarfass","rsarfass3d@wired.com","82 7th Hill","Mexico",4,"MXD",15999,1.399639236961073,"false"
100143,"Alison","Lampert","alamperte@list-manage.com","78 Express Plaza","U.S.A.",1,"USD",27000,1.244752097696329,"false"
100144,"Yulma","Peyntue","ypeyntue26@mayoclinic.com","3257 American Crossing","China",3,"CHY",150000,1.0010685146699763,"false"
100145,"Reade","McCumesky","rmccumesky2y@list-manage.com","6766 Schmedeman Road","China",3,"CHY",150000,0.9752960419080896,"false"
100146,"Maximilian","Camies","mcamiesv@so-net.ne.jp","7201 Cambridge Park","U.S.A.",1,"USD",4000,5.542795936950208,"false"
100147,"Sloane","Andrzejak","sandrzejak3t@netlog.com","44 Troy Crossing","Mexico",4,"MXD",40500,1.2037129761976473,"false"
100148,"Carlye","Blunsen","cblunsen1o@admin.ch","8131 Stephen Park","Germany",2,"EUR",59500,1.3170622793970048,"false"
100149,"Darcy","Addie","daddie1k@jalbum.net","836 Marquette Pass","Germany",2,"EUR",60500999,871.7247962866793,"true"
100150,"Cissy","Duley","cduley38@fotki.com","198 Westerfield Way","Mexico",4,"MXD",18000,1.0604627264003494,"false"
100151,"Ingmar","Durward","idurwardd@jimdo.com","38 Badeau Road","U.S.A.",1,"USD",30000,0.9826572305893776,"false"
100152,"Brittan","Timson","btimson32@yellowbook.com","9 Crownhardt Way","China",3,"CHY",150000,1.0818837611192984,"false"
