Id,first_name,last_name,email,Address,Country,Branch,Currency,Salary,LOF_Outlier,Distance_Outlier
100101,Tana,Dunne,tdunne2n@uiuc.edu,7497 Farwell Center,China,3,CHY,120000,110.0534331,FALSE
100102,Steven,McGrae,smcgrae11@engadget.com,129 Clemons Center,U.S.A.,1,USD,49000,0.992759819,FALSE
100103,Nobe,Haslen,nhaslen2p@mysql.com,82 Division Point,China,3,CHY,160000,206.3745908,FALSE
100104,Basile,Annis,bannis7@cornell.edu,79 Weeping Birch Point,U.S.A.,1,USD,16000,1.399617526,FALSE
100105,Concordia,Kohen,ckoheny@cocolog-nifty.com,203 Northridge Circle,U.S.A.,1,USD,39000,0.97675656,FALSE
100106,Nev,Yuryatin,nyuryatink@php.net,65703 Ridgeview Drive,U.S.A.,1,USD,45000,0.942095841,FALSE
100107,Starlene,Sager,ssagerz@reuters.com,088 Brown Park,U.S.A.,1,USD,19000,1.112992937,FALSE
100108,Curt,Medlar,cmedlar2w@addtoany.com,1749 Lakewood Park,China,3,CHY,150000,1.7558596,FALSE
100109,Adolpho,Bourdon,abourdon1b@wikimedia.org,2605 Lighthouse Bay Trail,Germany,2,EUR,99000,1.245537416,FALSE
100110,Sonny,Trevarthen,strevarthen1t@blinklist.com,270 Carey Junction,Germany,2,EUR,36098,0.983927051,FALSE
100111,Robbin,Geleman,rgeleman2j@phpbb.com,5138 Nova Avenue,China,3,CHY,680000,16.56791836,TRUE
100112,Garnet,Linfoot,glinfoot2b@gov.uk,9618 Emmet Drive,China,3,CHY,200000,269.6977188,FALSE
100113,Derick,Chuney,dchuney1p@earthlink.net,73099 Anderson Pass,Germany,2,EUR,29000,1.032673232,FALSE
100114,Brion,Wallwood,bwallwood30@goo.ne.jp,289 Almo Terrace,China,3,CHY,150000,1.557028529,FALSE
100115,Junie,Esmead,jesmead1g@sbwire.com,15 Hagan Park,Germany,2,EUR,66000,1.298521628,FALSE
100116,Adrea,Bravey,abravey1@1und1.de,4621 Emmet Junction,U.S.A.,1,USD,72000,1.0533401,FALSE
100117,Ella,McGenn,emcgennc@sourceforge.net,41 1st Drive,U.S.A.,1,USD,90000,1.082606272,FALSE
100118,Sherlock,Lober,slober16@tuttocitta.it,80547 Northridge Park,Germany,2,EUR,85000,1.224401952,FALSE
100119,Clarisse,Fawdrey,cfawdrey2i@smh.com.au,78285 8th Junction,China,3,CHY,780000,15.43206063,TRUE
100120,Trudey,Kowal,tkowal1r@liveinternet.ru,5253 Macpherson Pass,Germany,2,EUR,39000,0.976594018,FALSE
100121,Velma,Andraud,vandraud1x@issuu.com,58 Harper Pass,Germany,2,EUR,96300,1.166075064,FALSE
100122,Lisbeth,Fenne,lfenne2@un.org,0 Dahle Hill,U.S.A.,1,USD,20500,1.048528884,FALSE
100123,Mahmud,Laurentin,mlaurentin29@bloomberg.com,6895 Becker Court,China,3,CHY,450000,34.68351927,TRUE
100124,Jared,Pancoust,jpancoust21@domainmarket.com,783 Arapahoe Park,Germany,2,EUR,49000,0.99241295,FALSE
100125,Tallie,Tiplady,ttiplady1s@a8.net,85 Farmco Point,Germany,2,EUR,41068,1.230172526,FALSE
100126,Neron,Pennycook,npennycook1m@infoseek.co.jp,397 Cascade Way,Germany,2,EUR,82000,1.52550974,FALSE
100127,Kendra,Gitthouse,kgitthouse1w@tuttocitta.it,642 Waxwing Plaza,Germany,2,EUR,100000,1.289125466,FALSE
100128,Urbain,Scurrey,uscurrey40@creativecommons.org,387 Reindahl Trail,Mexico,4,MXD,59000,1.360982831,FALSE
100129,Desmond,Flannery,doflannery1d@imgur.com,8 Weeping Birch Point,Germany,2,EUR,54000,1.550159779,FALSE
100130,Marika,Kesper,mkesper4@digg.com,86516 Stephen Street,U.S.A.,1,USD,32000,1.02585396,FALSE
100131,Poul,Paulack,ppaulack22@facebook.com,5183 Onsgard Point,Germany,2,EUR,52000,1.324206997,FALSE
100132,Rickie,Lates Ken,rlatesken@ameblo.jp,823 Mockingbird Pass,Mexico,4,MXD,60000,1.239169223,FALSE
100133,Aigneis,Rangle,arangle2e@webs.com,71505 Green Ridge Alley,China,3,CHY,350000,302.8747649,FALSE
100134,Kara,Scurrer,kscurrer3l@last.fm,99 Merrick Crossing,Mexico,4,MXD,23000,1.122598405,FALSE
